X,I,T,V
5.94950000000032,5761062.57504171,6.49156893600421,463968.724383888
6.04950000000036,4844596.62535578,5.0140842405878,415948.949718253
6.14950000000039,4073921.27236704,3.97860360239,372350.093703534
6.24950000000042,3425844.34896895,3.23499192920603,332870.450760521
6.34950000000046,2880863.03681218,2.68907973262919,297206.19939683
6.44950000000049,2422576.98672347,2.28025934738667,265057.991985048
6.54950000000052,2037194.79102803,1.96857906729711,236135.715950505
6.64950000000055,1713118.96123679,1.72711178165907,210161.814618754
6.74950000000059,1440596.92456231,1.53733063401589,186873.482066287
6.84950000000062,1211427.53815484,1.38624185485207,166023.985681531
6.94950000000066,1018714.28996701,1.2645685152862,147383.320477952
7.04950000000069,856657.759730754,1.16557666160147,130738.358597235
7.14950000000072,720381.094785346,1.08430223155669,115892.624311829
7.24950000000076,605783.248901427,1.01703287492358,102665.797866985
7.34950000000079,509415.567657708,0.960954854018423,90893.0296020325
7.44950000000082,428378.006462417,0.913908683705978,80424.1280555086
7.54950000000086,360231.8580998,0.874217551570299,71122.6714413655
7.64950000000089,302926.363494968,0.840565187210442,62865.0803656773
7.74950000000092,254736.997174855,0.811907806708821,55539.6804245855
7.84950000000095,214213.570229161,0.787409852428601,49045.7759634909
7.94950000000099,180136.589014055,0.766396558969162,43292.7504376888
8.04950000000098,151480.556283077,0.748318558595808,38199.2042101196
8.14950000000092,127383.110350035,0.732725197766258,33692.1370179514
8.24950000000087,107119.073574457,0.719244223338257,29706.1795436951
8.34950000000081,90078.629198259,0.707566173150992,26182.8763806789
8.44950000000076,75748.9697984185,0.697432274186168,23070.0210579191
8.5495000000007,63698.8650933123,0.688624979727348,20321.0425804033
8.64950000000065,53565.6846937937,0.680960509246827,17894.4420617863
8.74950000000059,45044.4852679174,0.674282920794433,15753.2774077966
8.84950000000053,37878.8337136142,0.668459365447549,13864.6935938329
8.94950000000048,31853.0901761772,0.663376260555126,12199.4958236934
9.04950000000042,26785.9186792717,0.658936182478047,10731.762721429
9.14950000000037,22524.8300813873,0.655055326841426,9438.49666552886
9.24950000000031,18941.5931359648,0.651661419571204,8299.30840054177
9.34950000000026,15928.3755577269,0.648691988447643,7296.13313717027
9.4495000000002,13394.4989662133,0.646092924902455,6412.97546311996
9.54950000000015,11263.7100512548,0.64381728099338,5635.68052202133
9.64950000000009,9471.88584006688,0.641824258129057,4951.72906759788
9.74950000000003,7965.10400929998,0.64007835307983,4350.05415804717
9.84949999999998,6698.02017088072,0.63854863375297,3820.87741610244
9.94949999999993,5632.50329840859,0.637208122620507,3355.562939551
9.9999999999999,5154.18168266606,0.63658903018226,3140.19888927909
