Time,Intensity
886.68,50
890.882,20
895.084,0
899.287,0
903.489,0
907.691,0
911.894,0
916.096,0
920.298,10
924.5,20
928.703,0
932.905,0
937.107,20
941.31,0
945.512,0
949.714,20
953.916,0
958.119,0
962.321,0
966.523,30
970.725,10
974.928,10
979.13,10
983.332,0
987.534,0
991.737,0
995.939,0
1000.141,0
1004.344,0
1008.546,0
1012.748,0
1016.95,0
1021.153,0
1025.354,10
1029.557,0
1033.76,20
1037.962,0
1042.164,30
1046.366,0
1050.569,0
1054.771,10
1058.973,0
1063.175,0
1067.378,10
1071.58,0
1075.782,10
1079.985,0
1084.187,0
1088.389,0
1092.591,10
1096.793,10
1100.996,10
1105.198,10
1109.4,0
1113.603,0
1117.805,10
1122.007,0
1126.209,0
1130.412,10
1134.614,50
1138.816,0
1143.019,0
1147.221,10
1151.423,0
1155.625,0
1159.827,30
1164.03,50
1168.232,0
1172.434,0
1176.637,0
1180.839,0
1185.041,10
1189.243,10
1193.446,10
1197.648,0
1201.85,0
1206.052,20
1210.255,0
1214.457,20
1218.659,10
1222.862,20
1227.064,0
1231.266,0
1235.469,10
1239.671,0
1243.873,30
1248.075,10
1252.278,0
1256.48,10
1260.682,10
1264.884,10
1269.087,30
1273.289,20
1277.491,20
1281.693,20
1285.896,40
1290.098,40
1294.3,20
1298.502,50
1302.705,60
1306.907,50
1311.109,50
1315.312,10
1319.514,0
1323.716,20
1327.918,30
1332.121,0
1336.323,40
1340.525,20
1344.728,0
1348.93,90
1353.132,20
1357.334,30
1361.537,80
1365.739,10
1369.941,90
1374.143,70
1378.346,40
1382.548,50
1386.75,90
1390.952,30
1395.155,50
1399.357,50
1403.559,50
1407.761,50
1411.964,40
1416.166,70
1420.368,80
1424.571,20
1428.772,110
1432.975,110
1437.177,120
1441.38,10
1445.582,90
1449.784,190
1453.987,190
1458.189,40
1462.391,200
1466.593,150
1470.796,60
1474.998,130
1479.2,80
1483.403,120
1487.605,130
1491.807,160
1496.009,250
1500.211,210
1504.414,150
1508.616,110
1512.818,240
1517.021,250
1521.223,100
1525.425,290
1529.627,260
1533.83,530
1538.032,340
1542.234,370
1546.437,280
1550.639,300
1554.841,680
1559.043,510
1563.245,460
1567.448,530
1571.65,780
1575.852,830
1580.055,770
1584.257,920
1588.459,630
1592.661,1020
1596.864,660
1601.066,1390
1605.268,1070
1609.47,1050
1613.673,1270
1617.875,1240
1622.077,1120
1626.28,1380
1630.482,1640
1634.684,1570
1638.886,1860
1643.089,1920
1647.291,1740
1651.493,2500
1655.696,2930
1659.898,2860
1664.1,3000
1668.302,2790
1672.505,3360
1676.707,3320
1680.909,3410
1685.111,3680
1689.314,3240
1693.516,4130
1697.718,4800
1701.92,5180
1706.123,5140
1710.325,5240
1714.527,5850
1718.729,6120
1722.932,5700
1727.134,7280
1731.336,7360
1735.539,7870
1739.741,8480
1743.943,8890
1748.146,8840
1752.348,9470
1756.55,9160
1760.752,9030
1764.955,8610
1769.157,11070
1773.359,10480
1777.561,11000
1781.764,11120
1785.966,12330
1790.168,12110
1794.37,13080
1798.573,11900
1802.775,12660
1806.977,12500
1811.179,13340
1815.382,12890
1819.584,12820
1823.786,13870
1827.989,14350
1832.19,14750
1836.393,15020
1840.595,14250
1844.798,15190
1849,15710
1853.202,15830
1857.405,15220
1861.607,17150
1865.809,15360
1870.011,16240
1874.214,16690
1878.416,16590
1882.618,17340
1886.821,16730
1891.023,16090
1895.225,16500
1899.427,17180
1903.629,18400
1907.832,16860
1912.034,16740
1916.236,16410
1920.438,17270
1924.641,16400
1928.843,17120
1933.045,16990
1937.248,14940
1941.45,16290
1945.652,16830
1949.854,16700
1954.057,16270
1958.259,16160
1962.461,15960
1966.663,16000
1970.866,13840
1975.068,14730
1979.27,14610
1983.473,12440
1987.675,13170
1991.877,14980
1996.079,17740
2000.282,21730
2004.484,26330
2008.686,31860
2012.888,39360
2017.091,39940
2021.293,31490
2025.495,20560
2029.698,16940
2033.9,7620
2038.102,4190
2042.304,1500
2046.507,890
2050.709,400
2054.911,190
2059.114,410
2063.316,360
2067.518,200
2071.72,30
2075.923,330
2080.125,90
2084.327,170
2088.529,60
2092.732,80
2096.934,100
2101.136,60
2105.338,50
2109.541,20
2113.743,220
2117.945,70
2122.147,120
2126.35,20
2130.552,20
2134.754,40
2138.957,50
2143.159,20
2147.361,10
2151.563,30
2155.766,0
2159.968,40
2164.17,20
2168.373,0
2172.575,0
2176.777,50
2180.979,170
2185.182,50
2189.384,0
2193.586,10
2197.788,9660
2201.991,2040
2206.193,610
2210.395,240
2214.597,100
2218.8,80
2223.002,70
2227.204,0
2231.406,0
2235.608,10
2239.811,30
2244.013,0
2248.216,40
2252.418,0
2256.62,0
2260.823,10
2265.025,0
2269.227,30
2273.429,80
