#TIME,N,T_CD4,T_CD8,U,V
11.33521175,4.603358746,1.177303433,1.60132432,2606.729736,5867.410645
11.34021187,4.603358746,1.177303433,1.60132432,2606.729736,5867.410645
11.34521198,4.603358746,1.177303433,1.60132432,2606.729736,5867.410645
11.3502121,4.603358746,1.177303433,1.60132432,2606.729736,5867.410645
11.35521221,4.603358746,1.177303433,1.60132432,2606.494873,5844.669922
11.36021233,4.603358746,1.177303433,1.60132432,2606.494873,5844.669922
11.36521244,4.603358746,1.177303433,1.60132432,2606.494873,5844.669922
11.37021255,4.603358746,1.177303433,1.60132432,2606.258301,5821.71875
11.37521267,4.603358746,1.177303433,1.60132432,2606.258301,5821.71875
11.38021278,4.615103722,1.181348681,1.606553674,2606.258301,5821.71875
11.3852129,4.615103722,1.181348681,1.606553674,2606.258301,5821.71875
11.39021301,4.615103722,1.181348681,1.606553674,2606.020508,5798.556641
11.39521313,4.615103722,1.181348681,1.606553674,2606.020508,5798.556641
11.40021324,4.615103722,1.181348681,1.606553674,2606.020508,5798.556641
11.40521336,4.615103722,1.181348681,1.606553674,2606.020508,5798.556641
11.41021347,4.615103722,1.181348681,1.606553674,2605.78125,5775.184082
11.41521358,4.615103722,1.181348681,1.606553674,2605.78125,5775.184082
11.4202137,4.615103722,1.181348681,1.606553674,2605.78125,5775.184082
11.42521381,4.626636028,1.185356617,1.611728311,2605.78125,5775.184082
11.43021393,4.626636028,1.185356617,1.611728311,2605.540527,5751.601074
11.43521404,4.626636028,1.185356617,1.611728311,2605.540527,5751.601074
11.44021416,4.626636028,1.185356617,1.611728311,2605.540527,5751.601074
11.44521427,4.626636028,1.185356617,1.611728311,2605.540527,5751.601074
11.45021439,4.626636028,1.185356617,1.611728311,2605.298584,5727.807129
11.4552145,4.626636028,1.185356617,1.611728311,2605.298584,5727.807129
11.46021461,4.626636028,1.185356617,1.611728311,2605.298584,5727.807129
11.46521473,4.626636028,1.185356617,1.611728311,2605.054932,5703.802734
11.47021484,4.637955189,1.18932724,1.616848111,2605.054932,5703.802734
11.47521496,4.637955189,1.18932724,1.616848111,2605.054932,5703.802734
11.48021507,4.637955189,1.18932724,1.616848111,2605.054932,5703.802734
11.48521519,4.637955189,1.18932724,1.616848111,2604.810059,5679.587891
11.4902153,4.637955189,1.18932724,1.616848111,2604.810059,5679.587891
11.49521542,4.637955189,1.18932724,1.616848111,2604.810059,5679.587891
11.50021553,4.637955189,1.18932724,1.616848111,2604.810059,5679.587891
11.50521564,4.637955189,1.18932724,1.616848111,2604.563721,5655.162598
11.51021576,4.637955189,1.18932724,1.616848111,2604.563721,5655.162598
11.51521587,4.64906168,1.193260312,1.621913195,2604.563721,5655.162598
11.52021599,4.64906168,1.193260312,1.621913195,2604.563721,5655.162598
11.5252161,4.64906168,1.193260312,1.621913195,2604.315918,5630.526367
