"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"210","7.20786517","0.00558624","0.13873733","0.0","&beta;-D-glucuronide and D-glucuronate degradation","2","2","15","4","XC_0122; XC_4198; XC_4208; XC_4209","false","GLUCUROCAT-PWY","5.0","2","0","0","0.68960674","5","false","0","GLUCUROCAT-PWY","1042","false","0.57142857"
"211","8.19101124","3.174E-5","0.12208505","0.0","superpathway of hexuronide and hexuronate degradation","2","2","16","5","XC_0122; XC_0949; XC_4198; XC_4208; XC_4209","false","GALACT-GLUCUROCAT-PWY","2.0","2","0","0","0.64044944","2","false","0","GALACT-GLUCUROCAT-PWY","2","true","1.0"
"212","7.20786517","0.00558624","0.13873733","0.0","D-galacturonate degradation I","2","2","15","4","XC_0122; XC_0949; XC_4198; XC_4209","false","GALACTUROCAT-PWY","5.0","2","0","0","0.68960674","4","false","0","GALACTUROCAT-PWY","1042","false","0.57142857"
"213","0.0","0.0","0.0","0.0","D-galactarate degradation I","0",,"0","3","XC_0949; XC_2977; XC_4315","true","GALACTARDEG-PWY","0.0","0","0","0","9.223372036854776E10","4","false","0","GALACTARDEG-PWY","0","false","0.0"
"214","0.0","0.0","0.0","0.0","D-galactarate degradation II","0",,"0","4","XC_0949; XC_0953; XC_0954; XC_1702","true","PWY-6497","0.0","0","0","0","9.223372036854776E10","3","false","0","PWY-6497","0","false","0.0"
"215","7.21910112","0.0","0.1385214","0.0","glucose degradation (oxidative)","1","1","15","6","XC_0553; XC_1075; XC_1568; XC_2659; XC_3416; XC_4205","false","DHGLUCONATE-PYR-CAT-PWY","8.0","1","0","0","0.68904494","5","false","0","DHGLUCONATE-PYR-CAT-PWY","0","false","0.0"
"216","1.0","0.0","1.0","0.0","galactose degradation II","2","2","1","1","XC_3491","false","GALDEG-PWY","1.0","2","0","1","1.0","2","false","0","GALDEG-PWY","0","false","0.0"
"217","1.0","0.0","1.0","0.0","D-galactonate degradation","2","2","1","3","XC_2487; XC_2488; XC_2490","false","GALACTCAT-PWY","1.0","2","0","1","1.0","3","false","0","GALACTCAT-PWY","0","false","0.0"
"218","0.0","0.0","0.0","0.0","5-dehydro-4-deoxy-D-glucuronate degradation","0",,"0","4","XC_0122; XC_0160; XC_0161; XC_1973","true","PWY-6507","0.0","0","0","0","9.223372036854776E10","4","false","0","PWY-6507","0","false","0.0"
"219","2.0","0.0","0.5","1.0","1,6-anhydro-<i>N</i>-acetylmuramic acid recycling","2","2","3","1","XC_3927","false","PWY0-1261","2.5","2","0","0","0.66666667","2","false","0","PWY0-1261","0","false","0.83333333"
