"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"495","3.0","interact_with","PWY-1722 (interact_with) PWY-1881","false","interact_with","PWY-1722 (interact_with) PWY-1881"
"496","3.0","interact_with","PWY-1801 (interact_with) PWY-1881","false","interact_with","PWY-1801 (interact_with) PWY-1881"
"497","3.0","interact_with","PWY-1881 (interact_with) PWY-1722","false","interact_with","PWY-1881 (interact_with) PWY-1722"
"498","3.0","interact_with","PWY-1881 (interact_with) PWY-1801","false","interact_with","PWY-1881 (interact_with) PWY-1801"
"499","8.0","Contains","PWY-1882 (Contains) PWY-6966","false","Contains","PWY-1882 (Contains) PWY-6966"
"500","5.0","Contains","PWY-1882 (Contains) PWY-1801","false","Contains","PWY-1882 (Contains) PWY-1801"
"501","5.0","Contains","PWY-1882 (Contains) PWY-1722","false","Contains","PWY-1882 (Contains) PWY-1722"
"502","4.0","Contains","PWY-1882 (Contains) PWY-1881","false","Contains","PWY-1882 (Contains) PWY-1881"
"503","356.0","OUTGOING","VALDEG-PWY (OUTGOING) PANTO-PWY","false","OUTGOING","VALDEG-PWY (OUTGOING) PANTO-PWY"
"504","28.0","Contains","PWY-6505 (Contains) PWY-5162","false","Contains","PWY-6505 (Contains) PWY-5162"
"505","16.0","Contains","PWY-6505 (Contains) TRPCAT-PWY","false","Contains","PWY-6505 (Contains) TRPCAT-PWY"
"506","40.0","Contains","PWY-5655 (Contains) PWY-5162","false","Contains","PWY-5655 (Contains) PWY-5162"
"507","36.0","Contains","PWY-5655 (Contains) PWY-5651","false","Contains","PWY-5655 (Contains) PWY-5651"
"508","2.0","interact_with","TYRFUMCAT-PWY (interact_with) PHENYLALANINE-DEG1-PWY","false","interact_with","TYRFUMCAT-PWY (interact_with) PHENYLALANINE-DEG1-PWY"
"509","2.0","interact_with","PHENYLALANINE-DEG1-PWY (interact_with) TYRFUMCAT-PWY","false","interact_with","PHENYLALANINE-DEG1-PWY (interact_with) TYRFUMCAT-PWY"
"510","356.0","interact_with","PWY0-1317 (interact_with) PYRUVDEHYD-PWY","false","interact_with","PWY0-1317 (interact_with) PYRUVDEHYD-PWY"
"511","356.0","interact_with","PWY-5386 (interact_with) PYRUVDEHYD-PWY","false","interact_with","PWY-5386 (interact_with) PYRUVDEHYD-PWY"
"512","8.0","interact_with","PWY-4261 (interact_with) GLYCOLYSIS-VARIANTS","false","interact_with","PWY-4261 (interact_with) GLYCOLYSIS-VARIANTS"
"513","8.0","interact_with","PWY-4261 (interact_with) GLUCONEO-PWY","false","interact_with","PWY-4261 (interact_with) GLUCONEO-PWY"
"514","12.0","Contains","PWY0-381 (Contains) PWY-4261","false","Contains","PWY0-381 (Contains) PWY-4261"
"515","8.0","Contains","PWY0-381 (Contains) PWY-6952","false","Contains","PWY0-381 (Contains) PWY-6952"
"516","2.0","interact_with","PWY-7097 (interact_with) P184-PWY","false","interact_with","PWY-7097 (interact_with) P184-PWY"
"517","2.0","interact_with","PWY-7098 (interact_with) PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","false","interact_with","PWY-7098 (interact_with) PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY"
"518","2.0","Contains","PWY-6338 (Contains) PWY-7097","false","Contains","PWY-6338 (Contains) PWY-7097"
"519","2.0","Contains","PWY-6338 (Contains) P184-PWY","false","Contains","PWY-6338 (Contains) P184-PWY"
"520","16.0","interact_with","PWY-6336 (interact_with) PWY-5162","false","interact_with","PWY-6336 (interact_with) PWY-5162"
"521","2.0","interact_with","PWY-5418 (interact_with) CATECHOL-DEGRADATION","false","interact_with","PWY-5418 (interact_with) CATECHOL-DEGRADATION"
"522","16.0","interact_with","PWY-5647 (interact_with) PWY-5162","false","interact_with","PWY-5647 (interact_with) PWY-5162"
"523","529.0","interact_with","GLUCUROCAT-PWY (interact_with) ENTNER-DOUDOROFF-PWY","false","interact_with","GLUCUROCAT-PWY (interact_with) ENTNER-DOUDOROFF-PWY"
"524","179.0","Contains","GALACT-GLUCUROCAT-PWY (Contains) GLUCUROCAT-PWY","false","Contains","GALACT-GLUCUROCAT-PWY (Contains) GLUCUROCAT-PWY"
